Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
12;20700195026;"Acta Pharmaceutica Sinica B";journal;"22113843, 22113835";3,035;Q1;99;327;748;27863;10510;710;14,09;85,21;43,14;0;169;China;Asiatic Region;"Chinese Academy of Medical Sciences";"2012, 2014-2023";"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
13;21100207003;"Theranostics";journal;"18387640";2,912;Q1;158;317;1864;24951;23193;1864;11,58;78,71;41,55;0;181;Australia;Pacific Region;"Ivyspring International Publisher";"2012-2023";"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
14;19907;"Medicinal Research Reviews";journal;"01986325, 10981128";2,864;Q1;150;63;242;13778;3346;237;12,98;218,70;33,53;0;32;United States;Northern America;"John Wiley & Sons Inc.";"1981-2023";"Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
15;18017;"Neuropsychopharmacology";journal;"0893133X, 1470634X";2,743;Q1;249;254;861;15881;5626;715;5,84;62,52;46,79;0;52;United Kingdom;Western Europe;"Nature Publishing Group";"1987-2023";"Pharmacology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
16;21100456838;"Cell Chemical Biology";journal;"24519448, 24519456";2,584;Q1;206;163;476;9370;3228;423;5,59;57,48;40,27;0;90;United States;Northern America;"Elsevier Inc.";"2016-2023";"Biochemistry (Q1); Clinical Biochemistry (Q1); Drug Discovery (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
17;18148;"Pain";journal;"18726623, 03043959";2,376;Q1;296;320;983;17971;6296;869;5,36;56,16;46,30;9;55;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1975-2023";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
18;21100225611;"Advanced healthcare materials";journal;"21922640, 21922659";2,337;Q1;140;971;1402;69877;15256;1380;10,43;71,96;40,57;0;352;United States;Northern America;"John Wiley and Sons Inc.";"2012-2023";"Biomaterials (Q1); Biomedical Engineering (Q1); Pharmaceutical Science (Q1)";"Engineering; Materials Science; Pharmacology, Toxicology and Pharmaceutics"
19;21100232818;"Emerging Microbes and Infections";journal;"22221751";2,316;Q1;94;248;807;10789;7054;668;7,83;43,50;43,75;8;185;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2023";"Drug Discovery (Q1); Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Parasitology (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
20;26371;"Natural Product Reports";journal;"02650568, 14604752";2,297;Q1;211;68;279;11762;3035;277;10,49;172,97;32,76;0;14;United Kingdom;Western Europe;"Royal Society of Chemistry";"1984-2023";"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
21;13903;"Cellular and Molecular Life Sciences";journal;"1420682X, 14209071";2,274;Q1;261;368;1376;28485;9933;1365;6,57;77,40;45,67;0;141;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1952, 1996-2023";"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
22;21169;"Pharmacological Research";journal;"10436618, 10961186";2,160;Q1;169;405;1664;39722;15232;1552;8,84;98,08;45,69;1;231;United States;Northern America;"Academic Press";"1989-2023";"Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
23;23010;"Journal of Controlled Release";journal;"18734995, 01683659";2,157;Q1;313;666;1823;58698;20659;1804;10,86;88,14;40,49;1;323;Netherlands;Western Europe;"Elsevier B.V.";"1984-2023";"Pharmaceutical Science (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
24;23916;"Environmental Pollution";journal;"02697491, 18736424";2,132;Q1;301;2059;6456;142957;60288;6404;8,80;69,43;41,78;16;1314;United Kingdom;Western Europe;"Elsevier Ltd";"1970-1980, 1986-2023";"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
25;21100850730;"npj Vaccines";journal;"20590105";2,127;Q1;47;182;421;9795;2689;404;6,60;53,82;45,87;1;128;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Immunology (Q1); Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
26;20084;"British Journal of Pharmacology";journal;"14765381, 00071188";2,119;Q1;244;270;1011;20492;6907;959;6,59;75,90;42,25;1;101;United States;Northern America;"Wiley-Blackwell";"1965-2023";"Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
27;4400151524;"Particle and Fibre Toxicology";journal;"17438977";2,019;Q1;119;49;177;3252;1705;176;7,12;66,37;45,71;0;25;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Toxicology (Q1)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
28;20626;"Clinical Pharmacology and Therapeutics";journal;"15326535, 00099236";1,988;Q1;209;300;955;11855;4985;800;5,46;39,52;44,06;4;102;United States;Northern America;"Wiley-Blackwell";"1960-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
29;23041;"Journal of Medicinal Chemistry";journal;"00222623, 15204804";1,986;Q1;301;1025;2819;61988;20868;2790;6,95;60,48;39,07;0;501;United States;Northern America;"American Chemical Society";"1959-1961, 1963-2023";"Drug Discovery (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
30;21101088425;"MedComm";journal;"26882663";1,926;Q1;25;223;171;32320;1408;145;9,20;144,93;41,88;0;145;United States;Northern America;"John Wiley and Sons Inc.";"2020-2023";"Biochemistry (medical) (Q1); Cell Biology (Q1); Drug Discovery (Q1); Genetics (Q1); Genetics (clinical) (Q1); Immunology and Allergy (Q1); Oncology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
31;19403;"Acta Pharmacologica Sinica";journal;"16714083, 17457254";1,882;Q1;117;217;643;13284;5055;633;7,19;61,22;44,27;0;107;United Kingdom;Western Europe;"Nature Publishing Group";"1980-2023";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
32;21100218543;"Molecular Therapy - Nucleic Acids";journal;"21622531";1,849;Q1;95;293;975;15668;6807;944;6,26;53,47;43,68;0;107;United States;Northern America;"Cell Press";"2012-2023";"Drug Discovery (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
33;16088;"Journal of Nanobiotechnology";journal;"14773155";1,840;Q1;109;478;1132;37071;12176;1131;10,46;77,55;41,81;0;219;United Kingdom;Western Europe;"BioMed Central Ltd";"2003-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
34;20051;"BioDrugs";journal;"11738804, 1179190X";1,796;Q1;79;62;166;5182;1068;161;5,59;83,58;45,60;0;23;United Kingdom;Western Europe;"Adis International Ltd";"1996-2023";"Biotechnology (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
35;15576;"European Neuropsychopharmacology";journal;"0924977X, 18737862";1,756;Q1;130;134;450;6187;2034;346;4,22;46,17;45,35;0;24;Netherlands;Western Europe;"Elsevier B.V.";"1990-2023";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
36;21100857212;"Current Opinion in Systems Biology";journal;"24523100";1,676;Q1;34;21;140;1378;455;131;3,24;65,62;33,93;0;2;United Kingdom;Western Europe;"Elsevier Ltd";"2017-2023";"Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computer Science Applications (Q1); Drug Discovery (Q1); Modeling and Simulation (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics; Pharmacology, Toxicology and Pharmaceutics"
37;19700175119;"Asian Journal of Pharmaceutical Sciences";journal;"18180876, 2221285X";1,662;Q1;66;61;187;5119;2030;181;10,84;83,92;46,37;0;24;China;Asiatic Region;"Shenyang Pharmaceutical University";"2009-2023";"Pharmaceutical Science (Q1); Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
38;21100981214;"Bioengineering and Translational Medicine";journal;"23806761";1,655;Q1;28;258;178;19950;1422;167;7,79;77,33;38,98;0;98;United States;Northern America;"John Wiley & Sons Inc.";"2020-2023";"Biomedical Engineering (Q1); Biotechnology (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Pharmacology, Toxicology and Pharmaceutics"
39;21767;"Progress in Neuro-Psychopharmacology and Biological Psychiatry";journal;"18784216, 02785846";1,652;Q1;150;159;688;13295;3876;682;6,14;83,62;50,00;0;30;United States;Northern America;"Elsevier Inc.";"1982-2024";"Biological Psychiatry (Q1); Pharmacology (Q1)";"Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
40;24626;"Cell Biology and Toxicology";journal;"15736822, 07422091";1,649;Q1;72;176;164;10556;1083;150;6,79;59,98;45,07;0;87;Netherlands;Western Europe;"Springer Netherlands";"1984-2023";"Cell Biology (Q1); Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)";"Biochemistry, Genetics and Molecular Biology; Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
41;26380;"Drug and Alcohol Dependence";journal;"03768716, 18790046";1,632;Q1;187;333;1656;16964;6722;1617;3,94;50,94;54,19;4;242;Ireland;Western Europe;"Elsevier Ireland Ltd";"1975-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
42;5100155080;"Neurotherapeutics";journal;"19337213, 18787479";1,625;Q1;136;136;489;11473;2758;461;5,13;84,36;46,13;0;33;Netherlands;Western Europe;"Elsevier B.V.";"2007-2023";"Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
43;21196;"Drug Discovery Today";journal;"18785832, 13596446";1,586;Q1;215;287;817;23070;6201;775;7,32;80,38;40,32;2;108;United Kingdom;Western Europe;"Elsevier Ltd";"1996-2023";"Drug Discovery (Q1); Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
44;19700177407;"Interdisciplinary Toxicology";journal;"13379569, 13376853";1,583;Q1;38;0;6;0;74;6;0,00;0,00;0,00;0;0;Slovakia;Eastern Europe;"Slovak Toxicology Society SETOX";"2008-2020";"Health, Toxicology and Mutagenesis (Q1); Pharmacology (Q1); Toxicology (Q1)";"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
45;24763;"Addictive Behaviors";journal;"03064603, 18736327";1,561;Q1;149;283;1043;14357;5045;1023;4,35;50,73;53,36;1;125;United Kingdom;Western Europe;"Elsevier Ltd";"1975-2024";"Clinical Psychology (Q1); Medicine (miscellaneous) (Q1); Psychiatry and Mental Health (Q1); Toxicology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics; Psychology"
46;22452;"International Journal of Neuropsychopharmacology";journal;"14611457, 14695111";1,525;Q1;125;79;261;4188;1265;254;4,59;53,01;45,25;0;13;United Kingdom;Western Europe;"Oxford University Press";"1998-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
47;21101039610;"Current Protocols";journal;"26911299";1,520;Q1;18;299;579;11528;1993;576;3,44;38,56;44,51;0;53;United States;Northern America;"John Wiley & Sons Inc.";"2021-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health Informatics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medical Laboratory Technology (Q1); Neuroscience (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
48;21165;"PharmacoEconomics";journal;"11707690, 11792027";1,517;Q1;118;106;332;5784;1361;286;3,88;54,57;46,30;8;48;United Kingdom;Western Europe;"Adis International Ltd";"1992-2023";"Health Policy (Q1); Pharmacology (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
49;19617;"Antiviral Research";journal;"01663542, 18729096";1,500;Q1;151;200;496;10454;2913;495;4,72;52,27;41,09;3;141;Netherlands;Western Europe;"Elsevier B.V.";"1959, 1981-2023";"Pharmacology (Q1); Virology (Q1)";"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
50;28620;"Biomedicine and Pharmacotherapy";journal;"07533322, 19506007";1,493;Q1;149;1846;4194;172678;31849;4177;7,20;93,54;46,23;3;1023;France;Western Europe;"Elsevier Masson s.r.l.";"1982-2023";"Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
51;20435;"Neuropharmacology";journal;"00283908, 18737064";1,489;Q1;191;271;981;26083;4784;962;4,89;96,25;45,70;0;70;United Kingdom;Western Europe;"Elsevier Ltd";"1962-2023";"Cellular and Molecular Neuroscience (Q1); Pharmacology (Q1)";"Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
52;19958;"Archives of Pharmacal Research";journal;"19763786, 02536269";1,481;Q1;105;54;226;5084;1594;226;7,27;94,15;41,70;0;31;South Korea;Asiatic Region;"Pharmaceutical Society of Korea";"1978-2023";"Drug Discovery (Q1); Molecular Medicine (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
53;11700154316;"CNS Neuroscience and Therapeutics";journal;"17555949, 17555930";1,473;Q1;91;418;491;24328;2516;434;4,95;58,20;43,37;1;103;United Kingdom;Western Europe;"John Wiley and Sons Inc.";"2008-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1); Physiology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
54;25152;"Journal of Toxicology and Environmental Health - Part B: Critical Reviews";journal;"10937404, 15216950";1,446;Q1;99;16;44;2659;318;44;7,14;166,19;46,38;0;14;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2023";"Health, Toxicology and Mutagenesis (Q1); Toxicology (Q1)";"Environmental Science; Pharmacology, Toxicology and Pharmaceutics"
55;19700174913;"Therapeutic Advances in Neurological Disorders";journal;"17562864, 17562856";1,436;Q1;68;91;251;4803;1134;239;4,44;52,78;37,62;0;18;United Kingdom;Western Europe;"SAGE Publications Ltd";"2008-2023";"Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
56;18403;"Apoptosis : an international journal on programmed cell death";journal;"13608185, 1573675X";1,427;Q1;128;111;193;7674;1133;179;6,12;69,14;41,06;0;68;Netherlands;Western Europe;"Springer Netherlands";"1996-2023";"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Pharmaceutical Science (Q1); Pharmacology (Q1); Cancer Research (Q2); Cell Biology (Q2)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
57;21354;"Expert Opinion on Therapeutic Targets";journal;"14728222, 17447631";1,423;Q1;106;103;274;11531;1287;245;3,99;111,95;36,80;0;50;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1997-2023";"Clinical Biochemistry (Q1); Drug Discovery (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
58;15984;"Journal of Molecular Medicine";journal;"09462716, 14321440";1,422;Q1;157;112;390;8818;1838;377;4,64;78,73;47,31;0;56;Germany;Western Europe;"Springer Verlag";"1976-1978, 1980-1981, 1995-2023";"Drug Discovery (Q1); Genetics (clinical) (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
59;21351;"Expert Opinion on Investigational Drugs";journal;"13543784, 17447658";1,414;Q1;117;108;354;8144;1698;322;4,77;75,41;39,22;1;43;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994-2023";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
60;20783;"Expert Review of Vaccines";journal;"14760584, 17448395";1,412;Q1;105;110;409;7915;2013;364;5,10;71,95;43,87;4;83;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2023";"Drug Discovery (Q1); Immunology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
61;4700152872;"Journal of NeuroImmune Pharmacology";journal;"15571890, 15571904";1,396;Q1;91;47;180;3170;941;156;4,59;67,45;48,06;0;18;United States;Northern America;"Springer New York";"2006-2023";"Immunology (Q1); Immunology and Allergy (Q1); Neuroscience (miscellaneous) (Q1); Pharmacology (Q1)";"Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
62;19700201201;"EPMA Journal";journal;"18785077, 18785085";1,370;Q1;52;41;114;3583;830;111;7,32;87,39;43,01;0;25;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2023";"Biochemistry (medical) (Q1); Drug Discovery (Q1); Health Policy (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
63;23109;"Journal of Psychopharmacology";journal;"14617285, 02698811";1,366;Q1;135;125;424;8028;1891;397;4,57;64,22;40,98;0;24;United Kingdom;Western Europe;"SAGE Publications Ltd";"1987-2023";"Medicine (miscellaneous) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
64;20063;"Biochemical Pharmacology";journal;"18732968, 00062952";1,365;Q1;220;458;1297;44342;7204;1286;5,37;96,82;45,16;0;279;United States;Northern America;"Elsevier Inc.";"1958-2023";"Biochemistry (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
65;19615;"Antimicrobial Agents and Chemotherapy";journal;"10986596, 00664804";1,357;Q1;289;340;1988;12791;7979;1888;3,73;37,62;44,27;0;153;United States;Northern America;"American Society for Microbiology";"1963-1970, 1972-2023";"Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
66;22410;"Inflammation Research";journal;"1420908X, 10233830";1,309;Q1;107;162;336;10100;1863;321;5,10;62,35;45,74;0;49;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1995-2023";"Pharmacology (Q1); Immunology (Q2)";"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics"
67;14990;"Current Neuropharmacology";journal;"18756190, 1570159X";1,299;Q1;103;177;379;22198;2240;363;4,96;125,41;44,80;0;42;United Arab Emirates;Middle East;"Bentham Science Publishers B.V.";"2004-2023";"Medicine (miscellaneous) (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
68;21353;"Expert Opinion on Therapeutic Patents";journal;"13543776, 17447674";1,291;Q1;88;52;208;5718;1283;203;5,87;109,96;42,65;0;40;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1991-2023";"Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
69;21101018849;"ACS Pharmacology and Translational Science";journal;"25759108";1,286;Q1;36;151;419;10553;2104;399;5,21;69,89;39,42;0;81;United States;Northern America;"American Chemical Society";"2018-2023";"Pharmacology (Q1); Pharmacology (medical) (Q1)";"Medicine; Pharmacology, Toxicology and Pharmaceutics"
70;16573;"Phytotherapy Research";journal;"10991573, 0951418X";1,277;Q1;158;395;1028;29249;7801;991;7,33;74,05;44,53;1;198;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1987-2023";"Pharmacology (Q1)";"Pharmacology, Toxicology and Pharmaceutics"
71;21100819608;"Emerging Contaminants";journal;"24056650, 24056642";1,273;Q1;36;45;104;3495;654;103;5,45;77,67;38,38;2;33;China;Asiatic Region;"KeAi Communications Co.";"2015-2024";"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1); Toxicology (Q1)";"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
72;7700153108;"International Journal of Nanomedicine";journal;"11782013, 11769114";1,273;Q1;179;443;1559;33731;12840;1554;6,74;76,14;43,56;0;229;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2006-2023";"Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
