Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;25545;"Diabetes Technology and Therapeutics";journal;"15209156, 15578593";2,957;Q1;103;142;433;4325;2292;391;5,54;30,46;51,65;5;122;United States;Northern America;"Mary Ann Liebert Inc.";"1999-2023";"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
12;21100294621;"Journal of Sport and Health Science";journal;"22132961, 20952546";2,744;Q1;65;106;257;6441;2487;216;8,87;60,76;37,04;2;31;Netherlands;Western Europe;"Elsevier B.V.";"2012-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions; Medicine"
13;21101055750;"Radiology: Artificial Intelligence";journal;"26386100";2,602;Q1;35;59;208;1355;1735;169;7,21;22,97;36,45;0;19;United States;Northern America;"Radiological Society of North America Inc.";"2019-2023";"Artificial Intelligence (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
14;14875;"International Journal of Behavioral Nutrition and Physical Activity";journal;"14795868";2,485;Q1;151;148;476;8584;3755;471;5,72;58,00;58,58;5;53;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions; Medicine; Nursing"
15;19799;"American Journal of Sports Medicine";journal;"03635465, 15523365";2,363;Q1;266;445;1358;16995;6758;1197;4,42;38,19;22,08;0;11;United States;Northern America;"SAGE Publications Inc.";"1973-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
16;21100241208;"Bone and Joint Journal";journal;"20494408, 20494394";2,280;Q1;208;187;800;6001;3800;740;4,72;32,09;17,44;0;25;United Kingdom;Western Europe;"British Editorial Society of Bone and Joint Surgery";"2013-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
17;23845;"Journal of Cardiovascular Magnetic Resonance";journal;"1532429X, 10976647";2,242;Q1;115;81;293;3307;1643;293;4,26;40,83;32,23;0;26;United Kingdom;Western Europe;"Elsevier B.V.";"1999-2023";"Cardiology and Cardiovascular Medicine (Q1); Family Practice (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine"
18;28645;"Ultrasound in Obstetrics and Gynecology";journal;"09607692, 14690705";2,207;Q1;170;262;916;7338;3693;546;3,80;28,01;50,72;2;72;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2023";"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Reproductive Medicine (Q1)";"Health Professions; Medicine"
19;12100157156;"Current Protocols in Cytometry";journal;"19349297, 19349300";2,170;Q1;37;0;14;0;118;14;0,00;0,00;0,00;0;0;United States;Northern America;"John Wiley & Sons Inc.";"2001-2020";"Biochemistry (Q1); Histology (Q1); Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
20;17900156719;"International Review of Sport and Exercise Psychology";journal;"1750984X, 17509858";2,066;Q1;56;37;99;3713;762;98;6,76;100,35;41,48;0;2;United Kingdom;Western Europe;"Routledge";"2009-2023";"Applied Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology"
21;21100199724;"Qualitative Research in Sport, Exercise and Health";journal;"21596778, 2159676X";2,022;Q1;49;62;179;3721;1285;178;8,56;60,02;55,72;0;16;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2011-2023";"Health (social science) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Social Psychology (Q1); Sports Science (Q1)";"Health Professions; Psychology; Social Sciences"
22;15222;"Arthroscopy - Journal of Arthroscopic and Related Surgery";journal;"07498063, 15263231";2,002;Q1;189;442;1621;12826;4368;869;2,72;29,02;19,09;1;23;United States;Northern America;"W.B. Saunders";"1985-2023";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
23;21100256982;"IEEE Journal of Biomedical and Health Informatics";journal;"21682208, 21682194";1,964;Q1;156;683;1339;26062;11469;1316;7,61;38,16;31,23;0;155;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2013-2023";"Biotechnology (Q1); Computer Science Applications (Q1); Electrical and Electronic Engineering (Q1); Health Informatics (Q1); Health Information Management (Q1)";"Biochemistry, Genetics and Molecular Biology; Computer Science; Engineering; Health Professions; Medicine"
24;21723;"Journal of Shoulder and Elbow Surgery";journal;"15326500, 10582746";1,855;Q1;168;396;1275;13117;4960;1214;3,54;33,12;19,27;0;43;United States;Northern America;"Elsevier Inc.";"1992-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
25;19890;"Knee Surgery, Sports Traumatology, Arthroscopy";journal;"09422056, 14337347";1,785;Q1;153;668;1450;23316;6429;1373;4,23;34,90;19,75;3;22;Germany;Western Europe;"John Wiley and Sons Inc.";"1993-2023";"Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
26;19700176802;"Journal of Physiotherapy";journal;"18369553, 18369561";1,736;Q1;91;90;272;1787;964;95;2,75;19,86;47,15;1;13;Australia;Pacific Region;"Australian Physiotherapy Association";"2010-2023";"Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions"
27;23478;"Journal of Physiology";journal;"00223751, 14697793";1,708;Q1;266;516;1383;31572;4544;902;3,34;61,19;37,30;0;88;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1878-2023";"Physiology (Q1); Sports Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions"
28;12198;"Journal of Bone and Joint Surgery";journal;"15351386, 00219355";1,705;Q1;304;341;1364;10092;4531;1007;2,81;29,60;26,15;0;47;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1946-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
29;19842;"Exercise and Sport Sciences Reviews";journal;"15383008, 00916331";1,688;Q1;118;21;94;1385;453;79;3,69;65,95;31,75;0;3;United States;Northern America;"Wolters Kluwer Health";"1973-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
30;22609;"Journal of Learning Disabilities";journal;"15384780, 00222194";1,669;Q1;105;49;106;3328;519;101;3,80;67,92;61,67;0;34;United States;Northern America;"SAGE Publications Inc.";"1973-2023";"Education (Q1); Health Professions (miscellaneous) (Q1); Health (social science) (Q1)";"Health Professions; Social Sciences"
31;16101;"Human Brain Mapping";journal;"10659471, 10970193";1,626;Q1;217;438;1138;31422;5588;1134;4,56;71,74;41,32;0;35;United States;Northern America;"Wiley-Liss Inc.";"1993-2023";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine; Neuroscience"
32;21101060497;"Eye and Vision";journal;"23260254";1,553;Q1;41;49;150;2262;758;148;4,34;46,16;38,80;0;2;United Kingdom;Western Europe;"Springer Nature";"2014-2023";"Health Professions (miscellaneous) (Q1); Ophthalmology (Q1)";"Health Professions; Medicine"
33;19816;"Biology of Sport";journal;"0860021X";1,546;Q1;44;119;249;5275;1231;249;4,78;44,33;17,96;0;3;Poland;Eastern Europe;"Institute of Sport";"1996-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Physiology (medical) (Q1); Sports Science (Q1)";"Health Professions; Medicine"
34;21100368801;"IEEE/ACM Transactions on Audio Speech and Language Processing";journal;"23299304, 23299290";1,542;Q1;81;316;783;18024;5716;781;7,27;57,04;26,13;0;14;United States;Northern America;"IEEE Advancing Technology for Humanity";"2014-2023";"Acoustics and Ultrasonics (Q1); Computational Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Instrumentation (Q1); Media Technology (Q1); Signal Processing (Q1); Speech and Hearing (Q1)";"Computer Science; Engineering; Health Professions; Mathematics; Physics and Astronomy"
35;21101039610;"Current Protocols";journal;"26911299";1,520;Q1;18;299;579;11528;1993;576;3,44;38,56;44,51;0;53;United States;Northern America;"John Wiley & Sons Inc.";"2021-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health Informatics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medical Laboratory Technology (Q1); Neuroscience (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Health Professions; Immunology and Microbiology; Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
36;21101079108;"ACM Transactions on Computing for Healthcare";journal;"26378051, 26911957";1,490;Q1;16;24;110;1720;719;105;7,15;71,67;23,97;0;8;United States;Northern America;"Association for Computing Machinery (ACM)";"2020-2023";"Biomedical Engineering (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1); Software (Q1)";"Computer Science; Engineering; Health Professions; Medicine"
37;20346;"Scandinavian Journal of Medicine and Science in Sports";journal;"16000838, 09057188";1,485;Q1;143;225;645;9535;2814;609;3,84;42,38;34,45;0;37;Denmark;Western Europe;"Blackwell Munksgaard";"1991-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
38;19894;"Medicine and Science in Sports and Exercise";journal;"15300315, 01959131";1,470;Q1;261;245;867;11318;3402;831;3,70;46,20;36,79;0;53;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1969-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
39;23607;"Computerized Medical Imaging and Graphics";journal;"18790771, 08956111";1,459;Q1;93;122;269;6305;1925;267;6,72;51,68;29,96;0;40;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2023";"Computer Graphics and Computer-Aided Design (Q1); Computer Vision and Pattern Recognition (Q1); Health Informatics (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Computer Science; Health Professions; Medicine"
40;21100859815;"Sports Medicine - Open";journal;"21989761";1,446;Q1;47;118;306;7452;1533;299;4,21;63,15;29,15;1;19;United Kingdom;Western Europe;"SpringerOpen";"2015-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions; Medicine"
41;38062;"Exercise Immunology Review";journal;"10775552";1,431;Q1;63;5;23;0;127;23;3,87;0,00;47,37;0;2;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2023";"Immunology (Q1); Medicine (miscellaneous) (Q1); Sports Science (Q1)";"Health Professions; Immunology and Microbiology; Medicine"
42;19873;"Journal of Orthopaedic and Sports Physical Therapy";journal;"19381344, 01906011";1,431;Q1;145;89;295;3085;1172;236;4,15;34,66;40,46;1;3;United States;Northern America;"Movement Science Media";"1979-2023";"Medicine (miscellaneous) (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
43;12100156754;"Sport Management Review";journal;"14413523";1,429;Q1;78;51;149;3447;841;148;4,97;67,59;40,85;0;11;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1998-2023";"Business and International Management (Q1); Management Science and Operations Research (Q1); Marketing (Q1); Organizational Behavior and Human Resource Management (Q1); Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions"
44;14000156196;"International Journal of Sports Physiology and Performance";journal;"15550265, 15550273";1,388;Q1;94;200;716;5548;2376;676;3,29;27,74;18,70;0;9;United States;Northern America;"Human Kinetics Publishers Inc.";"2006-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
45;29603;"Clinical Orthopaedics and Related Research";journal;"15281132, 0009921X";1,387;Q1;236;434;1389;8863;2761;760;1,71;20,42;22,60;0;88;United States;Northern America;"Wolters Kluwer Health";"1963-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1); Surgery (Q1)";"Health Professions; Medicine"
46;21100908538;"Science and Medicine in Football";journal;"24733938, 24734446";1,349;Q1;27;87;193;3806;742;180;3,56;43,75;20,79;0;5;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2017-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
47;21100892339;"Health systems and reform";journal;"23288604, 23288620";1,289;Q1;30;27;96;937;318;81;2,00;34,70;52,04;0;13;United States;Northern America;"Taylor and Francis Ltd.";"2015-2023";"Health Informatics (Q1); Health Information Management (Q1); Public Health, Environmental and Occupational Health (Q1)";"Health Professions; Medicine"
48;13795;"Contact Lens and Anterior Eye";journal;"14765411, 13670484";1,279;Q1;64;115;312;4472;1233;284;4,16;38,89;43,39;0;5;Netherlands;Western Europe;"Elsevier B.V.";"1997-2023";"Medicine (miscellaneous) (Q1); Ophthalmology (Q1); Optometry (Q1)";"Health Professions; Medicine"
49;21100823212;"Echo Research and Practice";journal;"20550464";1,276;Q1;23;22;46;907;172;39;3,11;41,23;32,31;1;6;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2023";"Advanced and Specialized Nursing (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine; Nursing"
50;19700187632;"Physical Education and Sport Pedagogy";journal;"17408989, 17425786";1,273;Q1;54;100;173;5166;788;172;4,24;51,66;46,36;5;38;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2010-2023";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
51;21100869188;"BMJ Open Sport and Exercise Medicine";journal;"20557647";1,253;Q1;42;128;374;4586;1462;357;3,91;35,83;40,08;0;22;United Kingdom;Western Europe;"BMJ Publishing Group";"2015-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions; Medicine"
52;21100464901;"Neurophotonics";journal;"2329423X, 23294248";1,250;Q1;48;88;116;5389;556;109;4,79;61,24;38,30;0;9;United States;Northern America;"SPIE";"2014-2023";"Neuroscience (miscellaneous) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine; Neuroscience"
53;19700169885;"European Sport Management Quarterly";journal;"1746031X, 16184742";1,237;Q1;49;128;135;9275;733;133;4,86;72,46;33,94;1;31;United Kingdom;Western Europe;"Routledge";"2010-2023";"Sports Science (Q1); Strategy and Management (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Health Professions"
54;14231;"Statistical Methods in Medical Research";journal;"14770334, 09622802";1,235;Q1;104;148;564;5793;1336;550;1,93;39,14;37,15;0;41;United Kingdom;Western Europe;"SAGE Publications Ltd";"1992-2023";"Epidemiology (Q1); Health Information Management (Q1); Statistics and Probability (Q1)";"Health Professions; Mathematics; Medicine"
55;4000149001;"Cancer Imaging";journal;"17405025, 14707330";1,227;Q1;64;124;228;4329;1101;227;3,75;34,91;34,61;0;95;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2023";"Medicine (miscellaneous) (Q1); Oncology (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine"
56;19874;"Journal of Science and Medicine in Sport";journal;"18781861, 14402440";1,222;Q1;125;133;599;4517;2027;545;2,97;33,96;32,33;0;26;Netherlands;Western Europe;"Elsevier B.V.";"1998-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
57;13068;"Spine";journal;"03622436, 15281159";1,221;Q1;292;287;1274;8885;3630;1146;2,53;30,96;20,20;0;37;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1976-2023";"Neurology (clinical) (Q1); Orthopedics and Sports Medicine (Q1); Sports Science (Q1)";"Health Professions; Medicine"
58;16916;"Physical Therapy";journal;"00319023, 15386724";1,193;Q1;176;148;707;6785;2587;616;3,29;45,84;58,29;0;39;United States;Northern America;"Oxford University Press";"1964-2023";"Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions"
59;21100467423;"Journal of Educational Evaluation for Health Professions";journal;"19755937";1,192;Q1;22;41;116;532;839;106;10,19;12,98;42,45;0;10;South Korea;Asiatic Region;"Korea Health Personnel Licensing Examination Institute";"2016-2023";"Education (Q1); Health Professions (miscellaneous) (Q1)";"Health Professions; Social Sciences"
60;13679;"Ear and Hearing";journal;"15384667, 01960202";1,177;Q1;125;139;474;8073;1553;467;2,98;58,08;48,35;0;27;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1980-2023";"Otorhinolaryngology (Q1); Speech and Hearing (Q1)";"Health Professions; Medicine"
61;21078;"Journal of Sport Management";journal;"1543270X, 08884773";1,174;Q1;83;41;144;2350;552;143;3,28;57,32;36,00;0;10;United States;Northern America;"Human Kinetics Publishers Inc.";"1996-2023";"Decision Sciences (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Business, Management and Accounting; Decision Sciences; Health Professions; Medicine"
62;19900193557;"Sports Health";journal;"19410921, 19417381";1,167;Q1;65;163;282;6097;1026;255;3,27;37,40;30,20;0;17;United States;Northern America;"Sage Periodicals Press";"2010-2011, 2013-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1)";"Health Professions; Medicine"
63;14604;"Ophthalmic and Physiological Optics";journal;"02755408, 14751313";1,162;Q1;82;165;371;6845;1183;316;2,77;41,48;54,14;1;11;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1981-2023";"Ophthalmology (Q1); Optometry (Q1); Sensory Systems (Q1)";"Health Professions; Medicine; Neuroscience"
64;14033;"Psychology of Sport and Exercise";journal;"14690292";1,150;Q1;115;155;518;8979;2171;505;3,83;57,93;43,09;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2000-2024";"Sports Science (Q1); Applied Psychology (Q2)";"Health Professions; Psychology"
65;19871;"Journal of Athletic Training";journal;"10626050, 1938162X";1,141;Q1;131;125;435;4314;1245;419;2,37;34,51;47,95;1;18;United States;Northern America;"National Athletic Trainers' Association Inc.";"1996-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
66;19889;"Journal of Strength and Conditioning Research";journal;"10648011, 15334287";1,141;Q1;161;365;1449;15246;4541;1438;2,77;41,77;20,54;0;17;United States;Northern America;"NSCA National Strength and Conditioning Association";"1987-2023";"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
67;22281;"Reading and Writing";journal;"09224777, 15730905";1,138;Q1;92;185;323;11959;1119;317;2,89;64,64;63,34;4;115;Netherlands;Western Europe;"Springer Netherlands";"1989-2023";"Education (Q1); Linguistics and Language (Q1); Neuropsychology and Physiological Psychology (Q1); Speech and Hearing (Q1)";"Health Professions; Psychology; Social Sciences"
68;5800228211;"European Physical Education Review";journal;"1356336X, 17412749";1,136;Q1;55;54;173;3127;732;172;3,81;57,91;36,84;0;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2023";"Education (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine; Social Sciences"
69;36099;"Archives of Pathology and Laboratory Medicine";journal;"00039985";1,126;Q1;138;170;574;6497;1911;483;3,12;38,22;43,89;0;84;United States;Northern America;"Taylor and Francis Ltd.";"1973-2023";"Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)";"Health Professions; Medicine"
70;21101140107;"Clinical eHealth";journal;"25889141";1,122;Q1;6;24;28;796;237;26;8,46;33,17;37,86;0;15;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Health Professions; Medicine"
71;21090;"Journal of Sports Sciences";journal;"1466447X, 02640414";1,115;Q1;163;201;902;9661;3155;885;2,84;48,06;28,33;1;11;United Kingdom;Western Europe;"Routledge";"1983-2023";"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)";"Health Professions; Medicine"
72;21100909462;"BMJ Health and Care Informatics";journal;"26321009";1,114;Q1;43;75;175;1795;727;152;3,99;23,93;38,07;1;25;United Kingdom;Western Europe;"BMJ Publishing Group";"2019-2023";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1)";"Computer Science; Health Professions; Medicine"
73;19444;"American Journal of Pharmaceutical Education";journal;"15536467, 00029459";1,110;Q1;78;279;494;3042;1263;404;1,74;10,90;67,05;0;66;United States;Northern America;"Elsevier B.V.";"1945-1948, 1973-1989, 1991, 1994, 1996-2023";"Education (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Pharmacy (Q1)";"Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics; Social Sciences"
74;21100205116;"Diagnostic and interventional imaging";journal;"22115684";1,099;Q1;58;99;332;3287;1230;248;3,47;33,20;32,01;0;36;France;Western Europe;"Elsevier Masson s.r.l.";"2012-2023";"Medicine (miscellaneous) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine"
75;16270;"Archives of Physical Medicine and Rehabilitation";journal;"1532821X, 00039993";1,091;Q1;216;310;894;12546;2962;738;3,13;40,47;51,31;5;115;United States;Northern America;"W.B. Saunders";"1945-2023";"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q2)";"Health Professions; Medicine"
