Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
21;21100390174;"Annual Review of Virology";journal;"23270578, 2327056X";4,023;Q1;67;26;85;3273;870;79;7,95;125,88;40,00;0;8;United States;Northern America;"Annual Reviews Inc.";"2014-2023";"Virology (Q1)";"Immunology and Microbiology"
22;21100242814;"eLife";journal;"2050084X";3,932;Q1;206;1655;6193;114687;41633;6031;6,16;69,30;39,97;0;389;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
23;12977;"PLoS Biology";journal;"15449173, 15457885";3,822;Q1;305;471;1083;28978;8954;1064;6,34;61,52;40,54;4;87;United States;Northern America;"Public Library of Science";"2003-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
24;21100401152;"Microbiome";journal;"20492618";3,802;Q1;143;266;622;19900;8873;607;13,17;74,81;44,00;0;90;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2023";"Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
25;21100368204;"Cancer Immunology Research";journal;"23266066, 23266074";3,781;Q1;134;138;425;5941;3342;406;6,37;43,05;41,46;0;103;United States;Northern America;"American Association for Cancer Research Inc.";"2013-2023";"Cancer Research (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
26;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";3,728;Q1;117;445;1590;19408;14743;1571;8,71;43,61;42,99;0;391;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2023";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
27;21100942855;"Lancet Rheumatology, The";journal;"26659913";3,717;Q1;54;149;591;2803;2764;203;4,71;18,81;39,82;0;26;United Kingdom;Western Europe;"Elsevier Ltd";"2019-2023";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Immunology and Microbiology; Medicine"
28;21100297606;"Arthritis and Rheumatology";journal;"23265191, 23265205";3,708;Q1;353;330;975;9945;6341;627;6,84;30,14;47,30;3;50;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2014-2023";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Immunology and Microbiology; Medicine"
29;21267;"Journal of Allergy and Clinical Immunology";journal;"10976825, 00916749";3,701;Q1;338;386;1379;19313;11357;979;7,86;50,03;48,22;3;163;United States;Northern America;"Elsevier Inc.";"1963-1965, 1971-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
30;5800173382;"ISME Journal";journal;"17517362, 17517370";3,692;Q1;230;226;783;16228;9197;777;11,23;71,81;38,97;0;60;United Kingdom;Western Europe;"Oxford University Press";"2007-2023";"Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
31;20810;"Immunological Reviews";journal;"01052896, 1600065X";3,554;Q1;254;139;269;21462;2484;248;7,75;154,40;44,03;1;53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1969-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
32;14802;"Soil Biology and Biochemistry";journal;"00380717";3,453;Q1;266;256;921;18891;9993;916;10,47;73,79;39,41;2;95;United Kingdom;Western Europe;"Elsevier Ltd";"1933, 1969-2023";"Microbiology (Q1); Soil Science (Q1)";"Agricultural and Biological Sciences; Immunology and Microbiology"
33;11400153331;"Mucosal Immunology";journal;"19353456, 19330219";3,320;Q1;129;71;344;4924;2429;313;7,00;69,35;43,76;0;28;Netherlands;Western Europe;"Elsevier B.V.";"2008-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
34;21101134733;"iMeta";journal;"2770596X, 27705986";3,269;Q1;16;78;52;5281;936;41;18,00;67,71;38,97;0;27;United States;Northern America;"John Wiley and Sons Inc.";"2022-2023";"Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
35;20278;"Microbiology and Molecular Biology Reviews";journal;"10985557, 10922172";3,264;Q1;277;26;85;5260;859;83;7,81;202,31;34,96;0;6;United States;Northern America;"American Society for Microbiology";"1997-2023";"Immunology and Microbiology (miscellaneous)  (Q1); Infectious Diseases (Q1); Microbiology (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
36;20695;"Brain, Behavior, and Immunity";journal;"10902139, 08891591";3,141;Q1;197;283;1092;19298;11083;911;7,85;68,19;49,98;0;74;United States;Northern America;"Academic Press Inc.";"1987-2024";"Behavioral Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Immunology (Q1)";"Immunology and Microbiology; Neuroscience"
37;19708;"FEMS Microbiology Reviews";journal;"01686445, 15746976";3,089;Q1;250;74;169;12973;1935;166;10,86;175,31;44,19;0;15;United Kingdom;Western Europe;"Oxford University Press";"1985-2023";"Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1)";"Immunology and Microbiology; Medicine"
38;19700175861;"Gut Microbes";journal;"19490984, 19490976";3,075;Q1;110;307;671;26295;8601;660;12,33;85,65;44,26;0;110;United States;Northern America;"Landes Bioscience";"2010-2023";"Gastroenterology (Q1); Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
39;20185;"Allergy: European Journal of Allergy and Clinical Immunology";journal;"01054538, 13989995";3,073;Q1;201;399;1385;15878;9540;687;6,86;39,79;43,80;2;148;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1948-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
40;21359;"Seminars in Immunology";journal;"10445323, 10963618";2,977;Q1;147;100;161;14861;1214;145;6,77;148,61;48,64;0;47;United States;Northern America;"Academic Press";"1989-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
41;20862;"Trends in Microbiology";journal;"18784380, 0966842X";2,939;Q1;231;171;386;10739;3856;376;9,15;62,80;39,38;1;43;United Kingdom;Western Europe;"Elsevier Ltd";"1993-2023";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
42;21872;"Eurosurveillance";journal;"15607917, 1025496X";2,881;Q1;131;246;759;5591;5761;704;7,96;22,73;56,99;1;142;Sweden;Western Europe;"European Centre for Disease Prevention and Control (ECDC)";"2001-2023";"Epidemiology (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
43;18797;"Current Opinion in Immunology";journal;"09527915, 18790372";2,841;Q1;210;90;306;5522;2009;282;6,23;61,36;50,63;0;38;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
44;50032;"Journal of Neuroinflammation";journal;"17422094";2,831;Q1;154;306;983;21252;9731;983;9,08;69,45;45,45;0;76;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Neurology (Q1); Neuroscience (miscellaneous) (Q1)";"Immunology and Microbiology; Neuroscience"
45;7100153107;"Seminars in Immunopathology";journal;"18632297, 18632300";2,695;Q1;118;36;180;4217;1625;162;7,16;117,14;43,57;0;30;Germany;Western Europe;"Springer Verlag";"2007-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
46;20689;"Autoimmunity Reviews";journal;"15689972, 18730183";2,677;Q1;152;162;483;12717;4255;354;7,83;78,50;44,75;0;59;Netherlands;Western Europe;"Elsevier B.V.";"2002-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
47;21268;"Journal of Autoimmunity";journal;"10959157, 08968411";2,558;Q1;139;121;348;9599;3507;347;8,15;79,33;46,46;1;39;United States;Northern America;"Academic Press";"1988-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
48;15461;"Biotechnology Advances";journal;"18731899, 07349750";2,521;Q1;242;159;409;30908;6419;406;13,54;194,39;37,20;1;80;United States;Northern America;"Elsevier Inc.";"1983-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
49;16136;"Reviews in Environmental Science and Biotechnology";journal;"15691705, 15729826";2,507;Q1;110;38;116;6423;1639;115;8,86;169,03;30,43;0;29;Netherlands;Western Europe;"Springer Netherlands";"2002-2023";"Applied Microbiology and Biotechnology (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1)";"Environmental Science; Immunology and Microbiology"
50;21100399469;"EcoSal Plus";journal;"23246200";2,473;Q1;41;8;29;1467;212;29;6,17;183,38;33,96;0;1;United States;Northern America;"American Society for Microbiology";"2004-2022";"Microbiology (Q1)";"Immunology and Microbiology"
51;17421;"Cytokine and Growth Factor Reviews";journal;"18790305, 13596101";2,460;Q1;182;50;180;6983;1929;168;9,11;139,66;43,90;0;29;United Kingdom;Western Europe;"Elsevier B.V.";"1990-1992, 1994-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Endocrinology, Diabetes and Metabolism (Q1); Immunology (Q1); Immunology and Allergy (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
52;19700201211;"Cell Death and Disease";journal;"20414889";2,447;Q1;164;828;3153;48403;26701;3125;7,57;58,46;45,35;2;552;United Kingdom;Western Europe;"Nature Publishing Group";"2010-2023";"Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
53;11600154504;"Current Protocols in Immunology";journal;"19343671, 1934368X";2,361;Q1;57;0;24;0;108;24;0,00;0,00;0,00;0;0;United States;Northern America;"John Wiley & Sons Inc.";"2001-2020";"Immunology (Q1); Medicine (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine"
54;21100255413;"OncoImmunology";journal;"2162402X, 21624011";2,345;Q1;114;130;693;5642;4282;662;6,01;43,40;45,39;0;118;United States;Northern America;"Landes Bioscience";"2012-2023";"Immunology (Q1); Immunology and Allergy (Q1); Oncology (Q1)";"Immunology and Microbiology; Medicine"
55;21100232818;"Emerging Microbes and Infections";journal;"22221751";2,316;Q1;94;248;807;10789;7054;668;7,83;43,50;43,75;8;185;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2012-2023";"Drug Discovery (Q1); Epidemiology (Q1); Immunology (Q1); Infectious Diseases (Q1); Medicine (miscellaneous) (Q1); Microbiology (Q1); Parasitology (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
56;20356;"Reviews in Medical Virology";journal;"10529276, 10991654";2,307;Q1;106;97;276;8869;2613;247;9,56;91,43;42,27;5;85;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1991-2023";"Infectious Diseases (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
57;12100156717;"Current Protocols in Microbiology";journal;"19348525, 19348533";2,287;Q1;47;0;38;0;200;38;0,00;0,00;0,00;0;0;United States;Northern America;"John Wiley & Sons Inc.";"2005-2020";"Medicine (miscellaneous) (Q1); Microbiology (Q1); Parasitology (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
58;21270;"Journal of Clinical Immunology";journal;"02719142, 15732592";2,258;Q1;115;242;602;6918;2515;345;4,43;28,59;52,76;5;76;United States;Northern America;"Springer New York";"1981-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
59;4000151809;"PLoS Pathogens";journal;"15537374, 15537366";2,223;Q1;246;648;2162;44202;12150;2144;5,44;68,21;43,73;2;302;United States;Northern America;"Public Library of Science";"2005-2023";"Genetics (Q1); Immunology (Q1); Microbiology (Q1); Molecular Biology (Q1); Parasitology (Q1); Virology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
60;21100206244;"Open Biology";journal;"20462441";2,164;Q1;80;98;425;7835;2424;417;4,34;79,95;43,83;0;19;United Kingdom;Western Europe;"The Royal Society";"2011-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
61;21100853961;"ImmunoTargets and Therapy";journal;"22531556";2,140;Q1;25;14;63;768;498;62;6,56;54,86;40,35;0;12;New Zealand;Pacific Region;"Dove Medical Press Ltd.";"2015-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
62;21100850730;"npj Vaccines";journal;"20590105";2,127;Q1;47;182;421;9795;2689;404;6,60;53,82;45,87;1;128;United Kingdom;Western Europe;"Nature Publishing Group";"2016-2023";"Immunology (Q1); Infectious Diseases (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1)";"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
63;4400151713;"International Journal of Biological Sciences";journal;"14492288";2,114;Q1;118;321;978;26001;8903;970;8,20;81,00;41,12;0;225;Australia;Pacific Region;"Ivyspring International Publisher";"2005-2023";"Applied Microbiology and Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
64;19700188403;"mBio";journal;"21612129, 21507511";2,028;Q1;168;698;2309;39533;12160;2257;4,78;56,64;44,56;2;279;United States;Northern America;"American Society for Microbiology";"2010-2023";"Microbiology (Q1); Virology (Q1)";"Immunology and Microbiology"
65;4400151516;"Immunity and Ageing";journal;"17424933";1,999;Q1;61;74;145;4634;849;139;4,65;62,62;50,32;1;30;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Aging (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
66;21100823143;"Virus Evolution";journal;"20571577";1,986;Q1;41;84;320;5193;1636;320;5,16;61,82;38,68;1;49;United States;Northern America;"Oxford University Press";"2015-2023";"Microbiology (Q1); Virology (Q1)";"Immunology and Microbiology"
67;21100852120;"npj Biofilms and Microbiomes";journal;"20555008";1,878;Q1;53;101;250;6816;1980;249;7,60;67,49;42,50;0;20;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
68;21100229161;"Frontiers in Immunology";journal;"16643224";1,868;Q1;225;6746;17619;486339;110083;17068;5,62;72,09;45,96;16;3685;Switzerland;Western Europe;"Frontiers Media SA";"2010-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
69;16339;"Metabolic Engineering";journal;"10967176, 10967184";1,853;Q1;145;130;404;8364;3485;401;7,78;64,34;38,62;0;38;United States;Northern America;"Academic Press Inc.";"1999-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
70;16088;"Journal of Nanobiotechnology";journal;"14773155";1,840;Q1;109;478;1132;37071;12176;1131;10,46;77,55;41,81;0;219;United Kingdom;Western Europe;"BioMed Central Ltd";"2003-2023";"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biomedical Engineering (Q1); Medicine (miscellaneous) (Q1); Molecular Medicine (Q1); Nanoscience and Nanotechnology (Q1); Pharmaceutical Science (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Immunology and Microbiology; Materials Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
71;19900192509;"Current Opinion in Virology";journal;"18796265, 18796257";1,833;Q1;94;42;262;3612;1424;242;5,95;86,00;38,53;0;28;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Virology (Q1)";"Immunology and Microbiology"
72;19669;"Current Opinion in Microbiology";journal;"18790364, 13695274";1,822;Q1;200;117;326;8084;1862;302;5,67;69,09;46,82;0;21;United Kingdom;Western Europe;"Elsevier Ltd";"1998-2023";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
73;15577;"Critical Reviews in Biotechnology";journal;"15497801, 07388551";1,818;Q1;123;124;210;16624;2516;210;11,16;134,06;41,88;0;53;United Kingdom;Western Europe;"Informa Healthcare";"1983-2023";"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
74;21100779230;"RMD Open";journal;"20565933";1,739;Q1;61;297;524;10947;2574;495;4,75;36,86;46,62;1;85;United Kingdom;Western Europe;"BMJ Publishing Group";"2015-2023";"Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Immunology and Microbiology; Medicine"
75;20813;"Immunology";journal;"00192805, 13652567";1,720;Q1;157;133;384;7834;2100;346;4,93;58,90;48,39;1;68;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1958-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
76;21100932748;"Inflammation and Regeneration";journal;"18809693, 18808190";1,720;Q1;37;61;136;3658;800;126;4,61;59,97;33,11;0;18;United Kingdom;Western Europe;"BioMed Central Ltd";"2016-2023";"Cell Biology (Q1); Immunology (Q1); Immunology and Allergy (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
77;21100907393;"Environmental Microbiome";journal;"25246372";1,713;Q1;48;83;102;6537;725;101;6,30;78,76;42,69;0;27;United Kingdom;Western Europe;"BioMed Central Ltd";"2019-2023";"Applied Microbiology and Biotechnology (Q1); Genetics (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
78;21100854855;"Clinical and Translational Immunology";journal;"20500068";1,705;Q1;54;47;330;2667;1629;322;4,55;56,74;43,99;0;22;United Kingdom;Western Europe;"John Wiley & Sons Inc.";"2012-2023";"Immunology (Q1); Immunology and Allergy (Q1); Nursing (miscellaneous) (Q1)";"Immunology and Microbiology; Medicine; Nursing"
79;19700168103;"mAbs";journal;"19420870, 19420862";1,702;Q1;104;101;300;6759;1649;300;5,65;66,92;39,47;0;28;United States;Northern America;"Landes Bioscience";"2009-2023";"Immunology (Q1); Immunology and Allergy (Q1)";"Immunology and Microbiology; Medicine"
80;130030;"Proceedings of the Royal Society B: Biological Sciences";journal;"09628452";1,692;Q1;289;564;1809;38424;7587;1779;3,55;68,13;38,79;5;120;United Kingdom;Western Europe;"The Royal Society";"1946-1947, 1949-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Environmental Science (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science; Immunology and Microbiology; Medicine"
