Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;5700191214;"Molecular Neurodegeneration";journal;"17501326";5,205;Q1;115;91;221;10183;3064;211;12,38;111,90;41,03;0;8;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2023";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
12;19939;"Trends in Neurosciences";journal;"01662236, 1878108X";4,891;Q1;318;103;301;9591;3589;294;10,81;93,12;42,21;0;9;United Kingdom;Western Europe;"Elsevier Ltd";"1978-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
13;15359;"Trends in Cognitive Sciences";journal;"1879307X, 13646613";4,758;Q1;358;135;382;9746;4612;327;10,40;72,19;39,41;0;1;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2023";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Neuropsychology and Physiological Psychology (Q1)";"Neuroscience; Psychology"
14;17552;"Acta Neuropathologica";journal;"00016322, 14320533";4,720;Q1;215;123;409;5679;3917;329;8,39;46,17;40,69;0;11;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1961-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Neuroscience"
15;21100242814;"eLife";journal;"2050084X";3,932;Q1;206;1655;6193;114687;41633;6031;6,16;69,30;39,97;0;389;United Kingdom;Western Europe;"eLife Sciences Publications";"2012-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
16;17382;"Molecular Psychiatry";journal;"14765578, 13594184";3,895;Q1;250;552;1431;45931;14069;1303;9,21;83,21;44,14;5;89;United Kingdom;Western Europe;"Springer Nature";"1996-2023";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
17;12977;"PLoS Biology";journal;"15449173, 15457885";3,822;Q1;305;471;1083;28978;8954;1064;6,34;61,52;40,54;4;87;United States;Northern America;"Public Library of Science";"2003-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
18;14308;"Biological Psychiatry";journal;"00063223, 18732402";3,786;Q1;356;314;846;16137;5371;526;6,10;51,39;43,26;2;37;United States;Northern America;"Elsevier Inc.";"1969-2023";"Biological Psychiatry (Q1)";"Neuroscience"
19;14179;"Annals of Neurology";journal;"15318249, 03645134";3,600;Q1;331;254;759;8990;5080;548;6,35;35,39;40,75;2;60;United States;Northern America;"John Wiley & Sons Inc.";"1977-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
20;19837;"Sleep Medicine Reviews";journal;"15322955, 10870792";3,561;Q1;181;103;337;7020;3631;267;10,66;68,16;48,40;2;12;United Kingdom;Western Europe;"W.B. Saunders Ltd";"1997-2023";"Neurology (Q1); Neurology (clinical) (Q1); Physiology (medical) (Q1); Pulmonary and Respiratory Medicine (Q1)";"Medicine; Neuroscience"
21;28475;"Ageing Research Reviews";journal;"15681637, 18729649";3,376;Q1;162;271;557;43544;7632;555;13,35;160,68;43,85;0;61;Ireland;Western Europe;"Elsevier Ireland Ltd";"2002-2023";"Aging (Q1); Biochemistry (Q1); Biotechnology (Q1); Molecular Biology (Q1); Neurology (Q1)";"Biochemistry, Genetics and Molecular Biology; Neuroscience"
22;21100256102;"Translational Neurodegeneration";journal;"20479158";3,371;Q1;62;56;146;6597;1800;140;9,63;117,80;43,72;1;8;United Kingdom;Western Europe;"BioMed Central Ltd";"2012-2023";"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
23;3600148102;"Alzheimer's and Dementia";journal;"15525279, 15525260";3,226;Q1;162;577;1261;31225;7366;772;4,87;54,12;47,53;9;82;United States;Northern America;"John Wiley & Sons Inc.";"2005-2023";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Epidemiology (Q1); Geriatrics and Gerontology (Q1); Health Policy (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
24;20695;"Brain, Behavior, and Immunity";journal;"10902139, 08891591";3,141;Q1;197;283;1092;19298;11083;911;7,85;68,19;49,98;0;74;United States;Northern America;"Academic Press Inc.";"1987-2024";"Behavioral Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Immunology (Q1)";"Immunology and Microbiology; Neuroscience"
25;21101060182;"Autism in Adulthood";journal;"25739581, 2573959X";3,045;Q1;16;60;78;3464;833;69;10,75;57,73;71,08;2;17;United States;Northern America;"Mary Ann Liebert Inc.";"2020-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1); Neurology (Q1); Neurology (clinical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
26;15440;"Dialogues in Clinical Neuroscience";journal;"19585969, 12948322";3,031;Q1;112;12;40;868;550;39;4,44;72,33;41,67;0;7;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2002-2023";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
27;15537;"Current Biology";journal;"18790445, 09609822";2,982;Q1;361;867;2759;42659;14075;2060;4,65;49,20;37,10;6;117;United States;Northern America;"Cell Press";"1991-2023";"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Neuroscience (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Neuroscience"
28;14992;"Current Opinion in Neurobiology";journal;"09594388, 18736882";2,982;Q1;250;116;408;9048;2307;392;5,02;78,00;36,13;0;7;United Kingdom;Western Europe;"Elsevier Ltd";"1991-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
29;50032;"Journal of Neuroinflammation";journal;"17422094";2,831;Q1;154;306;983;21252;9731;983;9,08;69,45;45,45;0;76;United Kingdom;Western Europe;"BioMed Central Ltd";"2004-2023";"Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Neurology (Q1); Neuroscience (miscellaneous) (Q1)";"Immunology and Microbiology; Neuroscience"
30;18045;"Neuroscience and Biobehavioral Reviews";journal;"18737528, 01497634";2,810;Q1;288;417;1325;63793;11330;1255;7,94;152,98;47,60;1;57;United Kingdom;Western Europe;"Elsevier Ltd";"1978-2023";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Neuropsychology and Physiological Psychology (Q1)";"Neuroscience; Psychology"
31;21100820001;"Neurology: Neuroimmunology and NeuroInflammation";journal;"23327812";2,665;Q1;71;122;485;1731;3277;464;7,12;14,19;45,54;0;27;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"2014-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
32;19700174935;"Alzheimer's Research and Therapy";journal;"17589193";2,608;Q1;97;211;551;11291;4384;549;7,34;53,51;46,69;1;25;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2023";"Cognitive Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
33;24804;"Neural Networks";journal;"08936080, 18792782";2,605;Q1;173;546;1124;29315;9914;1119;7,03;53,69;28,39;0;30;United Kingdom;Western Europe;"Elsevier Ltd";"1988-2023";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1)";"Computer Science; Neuroscience"
34;24025;"Progress in Neurobiology";journal;"18735118, 03010082";2,605;Q1;256;79;303;8388;2210;290;7,08;106,18;39,76;0;6;United Kingdom;Western Europe;"Elsevier Ltd";"1959, 1962, 1973-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
35;21100367530;"Acta neuropathologica communications";journal;"20515960";2,580;Q1;87;203;595;12617;3783;574;5,95;62,15;42,65;0;43;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (clinical) (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Neuroscience"
36;15686;"GLIA";journal;"08941491, 10981136";2,518;Q1;186;168;474;13984;3280;472;6,32;83,24;46,94;1;17;United States;Northern America;"John Wiley & Sons Inc.";"1988-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (Q1)";"Neuroscience"
37;17407;"Movement Disorders";journal;"08853185, 15318257";2,464;Q1;229;332;1239;11634;6258;789;4,94;35,04;45,00;4;18;United States;Northern America;"John Wiley & Sons Inc.";"1986-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
38;20618;"Stroke";journal;"15244628, 00392499";2,450;Q1;357;501;2013;16389;11117;1671;5,33;32,71;37,59;0;407;United States;Northern America;"Wolters Kluwer Health";"1970-2023";"Advanced and Specialized Nursing (Q1); Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Medicine; Neuroscience; Nursing"
39;19700201211;"Cell Death and Disease";journal;"20414889";2,447;Q1;164;828;3153;48403;26701;3125;7,57;58,46;45,35;2;552;United Kingdom;Western Europe;"Nature Publishing Group";"2010-2023";"Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
40;11700154204;"Brain Stimulation";journal;"1935861X, 18764754";2,438;Q1;108;209;733;8048;3529;407;4,50;38,51;35,81;2;19;United States;Northern America;"Elsevier Inc.";"2008-2023";"Biophysics (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
41;17495;"NeuroImage";journal;"10959572, 10538119";2,436;Q1;418;610;2919;48129;17322;2877;5,10;78,90;37,86;0;23;United States;Northern America;"Academic Press Inc.";"1992-2023";"Cognitive Neuroscience (Q1); Neurology (Q1)";"Neuroscience"
42;18148;"Pain";journal;"18726623, 03043959";2,376;Q1;296;320;983;17971;6296;869;5,36;56,16;46,30;9;55;United States;Northern America;"Lippincott Williams and Wilkins Ltd.";"1975-2023";"Anesthesiology and Pain Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
43;16764;"Journal of Neuroscience";journal;"02706474, 15292401";2,321;Q1;503;664;2250;44148;10887;2213;4,32;66,49;41,91;0;37;United States;Northern America;"Society for Neuroscience";"1981-2023";"Neuroscience (miscellaneous) (Q1)";"Neuroscience"
44;13903;"Cellular and Molecular Life Sciences";journal;"1420682X, 14209071";2,274;Q1;261;368;1376;28485;9933;1365;6,57;77,40;45,67;0;141;Switzerland;Western Europe;"Birkhauser Verlag Basel";"1952, 1996-2023";"Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Molecular Medicine (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
45;15510;"Epilepsia";journal;"15281167, 00139580";2,227;Q1;220;377;923;16777;5342;847;6,23;44,50;43,35;5;29;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1909-1915, 1937-1950, 1952-1955, 1959-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
46;19900191866;"Translational Psychiatry";journal;"21583188";2,203;Q1;125;394;1541;28858;9934;1526;5,81;73,24;45,87;0;79;United Kingdom;Western Europe;"Nature Publishing Group";"2011-2023";"Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
47;18729;"Psychiatry Research";journal;"01651781, 18727123";2,189;Q1;171;543;1966;27041;14635;1688;4,57;49,80;49,00;7;164;Ireland;Western Europe;"Elsevier Ireland Ltd";"1979-2023";"Biological Psychiatry (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
48;21100206244;"Open Biology";journal;"20462441";2,164;Q1;80;98;425;7835;2424;417;4,34;79,95;43,83;0;19;United Kingdom;Western Europe;"The Royal Society";"2011-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
49;21100982311;"npj Parkinson's Disease";journal;"23738057";2,159;Q1;46;159;326;9890;2290;317;6,51;62,20;47,68;1;13;United States;Northern America;"Springer Nature";"2015-2023";"Cellular and Molecular Neuroscience (Q1); Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
50;21100445639;"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging";journal;"24519030, 24519022";2,131;Q1;56;169;439;9199;1964;323;4,40;54,43;44,57;0;18;United States;Northern America;"Elsevier Inc.";"2016-2023";"Biological Psychiatry (Q1); Cognitive Neuroscience (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Medicine; Neuroscience"
51;15370;"Journal of Abnormal Psychology";journal;"1939843X, 0021843X";2,119;Q1;220;0;157;0;930;153;4,97;0,00;0,00;0;0;United States;Northern America;"American Psychological Association";"1946-1959, 1963-2021";"Biological Psychiatry (Q1); Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Psychology"
52;17466;"Neurobiology of Disease";journal;"1095953X, 09699961";2,116;Q1;191;362;878;33444;5325;865;5,26;92,39;46,94;0;45;United States;Northern America;"Academic Press Inc.";"1994-2023";"Neurology (Q1)";"Neuroscience"
53;26111;"Frontiers in Neuroendocrinology";journal;"00913022, 10956808";2,078;Q1;152;37;136;6627;1018;130;6,81;179,11;66,91;0;18;United States;Northern America;"Academic Press Inc.";"1973, 1990-2023";"Endocrine and Autonomic Systems (Q1)";"Neuroscience"
54;19900193571;"Fluids and Barriers of the CNS";journal;"20458118";2,008;Q1;65;93;235;6525;1727;227;5,85;70,16;46,56;0;14;United Kingdom;Western Europe;"BioMed Central Ltd";"2011-2023";"Cellular and Molecular Neuroscience (Q1); Developmental Neuroscience (Q1); Medicine (miscellaneous) (Q1); Neurology (Q1)";"Medicine; Neuroscience"
55;19700177555;"Molecular Autism";journal;"20402392";1,989;Q1;79;46;217;3353;1425;214;6,28;72,89;56,57;1;5;United Kingdom;Western Europe;"BioMed Central Ltd";"2010-2023";"Developmental Biology (Q1); Developmental Neuroscience (Q1); Molecular Biology (Q1); Psychiatry and Mental Health (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
56;14344;"Brain Pathology";journal;"10156305, 17503639";1,937;Q1;148;92;277;4334;1484;223;5,02;47,11;38,01;0;19;United States;Northern America;"Wiley-Blackwell";"1990-2023";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Neuroscience"
57;16667;"Journal of Cerebral Blood Flow and Metabolism";journal;"0271678X, 15597016";1,937;Q1;217;212;642;12331;3772;620;5,41;58,17;39,79;0;78;United States;Northern America;"SAGE Publications Inc.";"1981-2023";"Cardiology and Cardiovascular Medicine (Q1); Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
58;21100222556;"Journal of Contextual Behavioral Science";journal;"22121447";1,902;Q1;46;94;276;5754;1444;257;3,58;61,21;55,81;0;23;United States;Northern America;"Elsevier Inc.";"2012-2023";"Applied Psychology (Q1); Behavioral Neuroscience (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Health (social science) (Q1); Organizational Behavior and Human Resource Management (Q1)";"Agricultural and Biological Sciences; Business, Management and Accounting; Neuroscience; Psychology; Social Sciences"
59;17408;"Multiple Sclerosis Journal";journal;"13524585, 14770970";1,901;Q1;152;236;862;6283;3735;713;3,68;26,62;46,84;5;38;United Kingdom;Western Europe;"SAGE Publications Ltd";"1995-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
60;15478;"Journal of Experimental Psychology: General";journal;"00963445, 19392222";1,868;Q1;186;177;523;12833;2291;523;3,81;72,50;45,00;0;18;United States;Northern America;"American Psychological Association";"1975-2023";"Developmental Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1)";"Medicine; Neuroscience; Psychology"
61;13736;"British Journal of Ophthalmology";journal;"14682079, 00071161";1,862;Q1;179;372;948;12940;4622;919;4,78;34,78;40,43;3;75;United Kingdom;Western Europe;"BMJ Publishing Group";"1941-2023";"Cellular and Molecular Neuroscience (Q1); Ophthalmology (Q1); Sensory Systems (Q1)";"Medicine; Neuroscience"
62;5400152651;"Frontiers of Neurology and Neuroscience";journal;"16604431";1,851;Q1;34;0;14;0;80;13;5,71;0,00;0,00;0;0;Switzerland;Western Europe;"S. Karger AG";"2005-2019, 2021";"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Medicine; Neuroscience"
63;21100363813;"Current Opinion in Behavioral Sciences";journal;"23521546";1,841;Q1;73;45;439;2452;2491;424;5,35;54,49;56,88;0;2;United Kingdom;Western Europe;"Elsevier Ltd";"2015-2023";"Behavioral Neuroscience (Q1); Cognitive Neuroscience (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
64;24807;"Neurocomputing";journal;"09252312, 18728286";1,815;Q1;196;975;4641;57031;33170;4590;6,79;58,49;30,59;0;54;Netherlands;Western Europe;"Elsevier B.V.";"1989-2023";"Artificial Intelligence (Q1); Cognitive Neuroscience (Q1); Computer Science Applications (Q1)";"Computer Science; Neuroscience"
65;19700187601;"Developmental Cognitive Neuroscience";journal;"18789293, 18789307";1,804;Q1;87;121;387;10367;1783;383;4,61;85,68;56,84;1;11;Netherlands;Western Europe;"Elsevier B.V.";"2011-2023";"Cognitive Neuroscience (Q1)";"Neuroscience"
66;4200151402;"International Journal of Stroke";journal;"17474930, 17474949";1,800;Q1;100;163;373;5280;1913;335;5,17;32,39;35,85;1;142;United Kingdom;Western Europe;"SAGE Publications Ltd";"2006-2023";"Neurology (Q1); Neurology (clinical) (Q1)";"Medicine; Neuroscience"
67;21101098750;"Brain Communications";journal;"26321297";1,773;Q1;34;349;843;18700;3667;791;3,93;53,58;43,55;1;62;United States;Northern America;"Oxford University Press";"2019-2023";"Biological Psychiatry (Q1); Cellular and Molecular Neuroscience (Q1); Neurology (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience"
68;15576;"European Neuropsychopharmacology";journal;"0924977X, 18737862";1,756;Q1;130;134;450;6187;2034;346;4,22;46,17;45,35;0;24;Netherlands;Western Europe;"Elsevier B.V.";"1990-2023";"Biological Psychiatry (Q1); Neurology (Q1); Neurology (clinical) (Q1); Pharmacology (Q1); Pharmacology (medical) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
69;25678;"Journal of Research on Adolescence";journal;"10508392, 15327795";1,729;Q1;113;102;293;6723;1370;284;5,09;65,91;63,90;4;24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1993, 1996-2023";"Behavioral Neuroscience (Q1); Cultural Studies (Q1); Developmental and Educational Psychology (Q1); Social Sciences (miscellaneous) (Q1)";"Neuroscience; Psychology; Social Sciences"
70;21100369734;"Neurobiology of Stress";journal;"23522895";1,696;Q1;55;62;281;6310;1427;278;4,86;101,77;48,68;0;11;United States;Northern America;"Elsevier Inc.";"2015-2023";"Biochemistry (Q1); Cellular and Molecular Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Endocrinology (Q1); Molecular Biology (Q1); Physiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Neuroscience"
71;21100823147;"Annals of Clinical and Translational Neurology";journal;"23289503";1,695;Q1;70;229;692;9196;3196;657;4,39;40,16;43,95;1;45;United States;Northern America;"John Wiley & Sons Inc.";"2014-2023";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Medicine; Neuroscience"
72;17300154985;"Autism Research";journal;"19393792, 19393806";1,686;Q1;93;206;591;12260;3453;547;5,64;59,51;61,44;2;22;United States;Northern America;"John Wiley & Sons Inc.";"2008-2023";"Genetics (clinical) (Q1); Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Medicine; Neuroscience"
73;13503;"Developmental Science";journal;"14677687, 1363755X";1,686;Q1;150;142;396;10004;1539;385;3,51;70,45;62,59;1;18;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1998-2023";"Cognitive Neuroscience (Q1); Developmental and Educational Psychology (Q1)";"Neuroscience; Psychology"
74;14855;"Cerebral Cortex";journal;"10473211, 14602199";1,685;Q1;279;860;1246;65895;5069;1245;3,80;76,62;43,22;1;57;United Kingdom;Western Europe;"Oxford University Press";"1991-2023";"Cellular and Molecular Neuroscience (Q1); Cognitive Neuroscience (Q1)";"Neuroscience"
75;21100897795;"Cell Death Discovery";journal;"20587716";1,668;Q1;58;457;985;28728;5917;963;5,74;62,86;43,05;0;280;United Kingdom;Western Europe;"Nature Publishing Group";"2015-2023";"Cancer Research (Q1); Cell Biology (Q1); Cellular and Molecular Neuroscience (Q1); Immunology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Neuroscience"
76;4000151810;"PLoS Computational Biology";journal;"15537358, 1553734X";1,652;Q1;217;713;2658;44501;10354;2645;3,65;62,41;30,85;2;198;United States;Northern America;"Public Library of Science";"2005-2023";"Cellular and Molecular Neuroscience (Q1); Computational Theory and Mathematics (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Modeling and Simulation (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Environmental Science; Mathematics; Neuroscience"
77;21767;"Progress in Neuro-Psychopharmacology and Biological Psychiatry";journal;"18784216, 02785846";1,652;Q1;150;159;688;13295;3876;682;6,14;83,62;50,00;0;30;United States;Northern America;"Elsevier Inc.";"1982-2024";"Biological Psychiatry (Q1); Pharmacology (Q1)";"Neuroscience; Pharmacology, Toxicology and Pharmaceutics"
78;14989;"Current Neurology and Neuroscience Reports";journal;"15284042, 15346293";1,639;Q1;93;77;217;7174;1265;217;4,97;93,17;48,62;0;22;United States;Northern America;"Current Medicine Group";"2001-2023";"Neurology (clinical) (Q1); Neuroscience (miscellaneous) (Q1)";"Medicine; Neuroscience"
79;7000153204;"Social Cognitive and Affective Neuroscience";journal;"17495024, 17495016";1,635;Q1;125;108;336;8084;1556;334;4,44;74,85;51,22;1;9;United Kingdom;Western Europe;"Oxford University Press";"2006-2023";"Cognitive Neuroscience (Q1); Experimental and Cognitive Psychology (Q1); Medicine (miscellaneous) (Q1)";"Medicine; Neuroscience; Psychology"
80;16101;"Human Brain Mapping";journal;"10659471, 10970193";1,626;Q1;217;438;1138;31422;5588;1134;4,56;71,74;41,32;0;35;United States;Northern America;"Wiley-Liss Inc.";"1993-2023";"Anatomy (Q1); Neurology (Q1); Neurology (clinical) (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)";"Health Professions; Medicine; Neuroscience"
81;21101071061;"Neurobiology of Language";journal;"26414368";1,608;Q1;14;29;79;2530;334;78;3,68;87,24;53,64;0;6;United States;Northern America;"MIT Press Journals";"2020-2023";"Linguistics and Language (Q1); Neurology (Q1)";"Neuroscience; Social Sciences"
