Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2023);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
11;26465;"Progress in Polymer Science";journal;"00796700";6,211;Q1;331;50;158;14572;4512;154;26,51;291,44;37,38;0;8;United Kingdom;Western Europe;"Elsevier Ltd";"1967, 1970-1971, 1975, 1977-1978, 1980-1986, 1988-2023";"Ceramics and Composites (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1); Surfaces and Interfaces (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
12;22657;"Accounts of Chemical Research";journal;"00014842, 15204898";5,948;Q1;453;338;949;20102;17780;926;16,68;59,47;29,07;0;106;United States;Northern America;"American Chemical Society";"1968-2023";"Chemistry (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)";"Chemistry; Medicine"
13;25143;"Advanced Functional Materials";journal;"1616301X";5,496;Q1;402;3240;6403;227642;125554;6369;18,99;70,26;33,52;0;1217;Germany;Western Europe;"Wiley-VCH Verlag";"2000-2023";"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrochemistry (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
14;22680;"Journal of the American Chemical Society";journal;"15205126, 00027863";5,489;Q1;703;2986;7482;175673;110449;7464;14,13;58,83;30,11;1;570;United States;Northern America;"American Chemical Society";"1879-2023";"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
15;22687;"Angewandte Chemie - International Edition";journal;"14337851, 15213773";5,300;Q1;640;4075;10226;249418;161620;10129;15,74;61,21;32,31;0;1005;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1962-2023";"Catalysis (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
16;21101047377;"EnergyChem";journal;"25897780";5,274;Q1;40;20;64;5227;1455;64;23,00;261,35;42,86;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2019-2023";"Biomaterials (Q1); Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
17;19700182758;"Nature Communications";journal;"20411723";4,887;Q1;522;8240;20805;509160;312714;20403;13,79;61,79;37,09;90;2420;United Kingdom;Western Europe;"Nature Publishing Group";"2010-2023";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
18;21101175791;"Nature Synthesis";journal;"27310582";4,759;Q1;25;221;179;6882;1465;136;8,18;31,14;27,05;0;17;United Kingdom;Western Europe;"Nature Publishing Group";"2022-2023";"Chemistry (miscellaneous) (Q1); Inorganic Chemistry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1)";"Chemistry; Materials Science"
19;26555;"Annual Review of Physical Chemistry";journal;"0066426X, 15451593";4,696;Q1;186;23;69;2967;1106;69;13,60;129,00;28,26;0;2;United States;Northern America;"Annual Reviews Inc.";"1975, 1983, 1985, 1988-2023";"Medicine (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Medicine"
20;21101172088;"SmartMat";journal;"27668525, 2688819X";4,332;Q1;33;63;96;5505;1532;90;15,65;87,38;35,19;0;26;China;Asiatic Region;"John Wiley &amp; Sons Inc";"2020-2023";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science"
21;23470;"Coordination Chemistry Reviews";journal;"00108545";4,145;Q1;312;424;1175;90368;24586;1162;20,63;213,13;35,84;0;188;Netherlands;Western Europe;"Elsevier B.V.";"1966-2024";"Inorganic Chemistry (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Materials Science"
22;21101169024;"Aggregate";journal;"27668541, 26924560";3,994;Q1;33;156;153;12086;2370;143;14,28;77,47;37,29;0;38;United States;Northern America;"John Wiley and Sons Inc.";"2020-2023";"Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
23;19700188320;"ACS Catalysis";journal;"21555435";3,847;Q1;293;1435;4181;97992;53252;4142;11,70;68,29;32,14;0;398;United States;Northern America;"American Chemical Society";"2011-2023";"Catalysis (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
24;21100824912;"ACS Central Science";journal;"23747951, 23747943";3,722;Q1;136;251;733;12200;8913;699;9,57;48,61;35,12;0;63;United States;Northern America;"American Chemical Society";"2015-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
25;21537;"Environmental Science &amp; Technology";journal;"0013936X, 15205851";3,516;Q1;480;2060;5078;129054;59046;4905;10,65;62,65;39,36;29;1074;United States;Northern America;"American Chemical Society";"1958, 1967-2023";"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Medicine (miscellaneous) (Q1)";"Chemistry; Environmental Science; Medicine"
26;21100200203;"Wiley Interdisciplinary Reviews: Computational Molecular Science";journal;"17590876, 17590884";3,473;Q1;105;48;162;8571;2884;160;19,44;178,56;29,81;0;8;United States;Northern America;"John Wiley & Sons Inc.";"2011-2023";"Biochemistry (Q1); Computational Mathematics (Q1); Computer Science Applications (Q1); Materials Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Materials Science; Mathematics"
27;21101080172;"Chem Catalysis";journal;"26671093, 26671107";3,455;Q1;29;273;438;12894;2864;254;6,54;47,23;31,14;0;179;United States;Northern America;"Cell Press";"2021-2023";"Chemistry (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
28;17853;"Nano Letters";journal;"15306992, 15306984";3,411;Q1;550;1575;3877;73244;40031;3856;9,68;46,50;30,18;0;279;United States;Northern America;"American Chemical Society";"2001-2023";"Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nanoscience and Nanotechnology (Q1)";"Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy"
29;21101098757;"EcoMat";journal;"25673173";3,369;Q1;36;110;141;9760;1920;138;11,54;88,73;32,09;0;62;United States;Northern America;"John Wiley and Sons Inc.";"2019-2023";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Materials Science"
30;3200147828;"Small";journal;"16136829, 16136810";3,348;Q1;294;3459;4300;231291;57031;4280;13,08;66,87;34,99;1;1409;Germany;Western Europe;"Wiley-VCH Verlag";"2005-2023";"Biomaterials (Q1); Biotechnology (Q1); Chemistry (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Materials Science; Medicine"
31;21100904988;"Trends in Chemistry";journal;"25895974";3,348;Q1;67;99;329;5785;3467;319;9,17;58,43;28,04;0;27;United States;Northern America;"Cell Press";"2019-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
32;21100244836;"Journal of Energy Chemistry";journal;"20954956";3,165;Q1;113;649;1884;49047;25067;1816;14,05;75,57;34,73;0;450;Netherlands;Western Europe;"Elsevier B.V.";"2013-2023";"Electrochemistry (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Fuel Technology (Q1)";"Chemistry; Energy"
33;21101145619;"Ultrafast Science";journal;"20970331, 27658791";3,143;Q1;16;31;31;2240;419;30;13,52;72,26;20,95;0;2;United States;Northern America;"American Association for the Advancement of Science";"2021-2023";"Atomic and Molecular Physics, and Optics (Q1); Biophysics (Q1); Physical and Theoretical Chemistry (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
34;21100924211;"Small Methods";journal;"23669608";3,107;Q1;107;586;850;45711;10230;846;11,29;78,01;34,12;0;218;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2017-2023";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Materials Science"
35;21100242403;"Redox Biology";journal;"22132317";3,008;Q1;137;396;1165;29415;13483;1150;10,45;74,28;42,71;0;157;Netherlands;Western Europe;"Elsevier B.V.";"2013-2023";"Biochemistry (Q1); Clinical Biochemistry (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
36;21101132410;"JACS Au";journal;"26913704";2,937;Q1;36;336;485;23007;4064;467;8,38;68,47;33,30;0;78;United States;Northern America;"American Chemical Society";"2021-2023";"Analytical Chemistry (Q1); Chemistry (miscellaneous) (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry"
37;25246;"Chinese Journal of Catalysis";journal;"18722067";2,932;Q1;103;212;682;17462;9802;654;14,45;82,37;37,77;0;119;China;Asiatic Region;"Science China Press";"1996-2023";"Catalysis (Q1); Chemistry (miscellaneous) (Q1)";"Chemical Engineering; Chemistry"
38;21101021575;"Journal of Bioresources and Bioproducts";journal;"23699698";2,880;Q1;39;39;89;2470;1909;89;23,39;63,33;34,76;0;18;Canada;Northern America;"KeAi Communications Co.";"2019-2023";"Biochemistry (Q1); Biomaterials (Q1); Forestry (Q1); Materials Chemistry (Q1); Organic Chemistry (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
39;16398;"Chemical Engineering Journal";journal;"13858947";2,852;Q1;309;8660;14992;540924;225056;14979;14,63;62,46;36,04;2;4243;Netherlands;Western Europe;"Elsevier B.V.";"1971, 1973-1977, 1979, 1983, 1988, 1992-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Industrial and Manufacturing Engineering (Q1)";"Chemical Engineering; Chemistry; Engineering; Environmental Science"
40;21100232403;"Journal of Materials Chemistry A";journal;"20507496, 20507488";2,804;Q1;295;2221;6904;151025;77037;6898;10,43;68,00;32,90;0;1225;United Kingdom;Western Europe;"Royal Society of Chemistry";"2013-2023";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Materials Science"
41;21101048251;"CCS Chemistry";journal;"20965745";2,726;Q1;48;273;689;15993;5872;659;8,47;58,58;34,47;0;86;China;Asiatic Region;"Chinese Chemical Society";"2019-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
42;22597;"Food Hydrocolloids";journal;"0268005X";2,717;Q1;211;1016;2403;55349;31248;2402;12,49;54,48;45,88;1;88;Netherlands;Western Europe;"Elsevier B.V.";"1986, 1993, 1995-2024";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Food Science (Q1)";"Agricultural and Biological Sciences; Chemical Engineering; Chemistry"
43;26533;"Advances in Colloid and Interface Science";journal;"00018686";2,656;Q1;224;149;478;28669;8603;474;16,83;192,41;32,81;0;50;Netherlands;Western Europe;"Elsevier B.V.";"1967-1972, 1974-2023";"Colloid and Surface Chemistry (Q1); Physical and Theoretical Chemistry (Q1); Surfaces and Interfaces (Q1)";"Chemical Engineering; Chemistry; Physics and Astronomy"
44;21101075718;"AVS Quantum Science";journal;"26390213";2,534;Q1;24;62;120;3416;809;118;5,10;55,10;15,83;0;1;United States;Northern America;"American Institute of Physics";"2019-2023";"Atomic and Molecular Physics, and Optics (Q1); Computational Theory and Mathematics (Q1); Computer Networks and Communications (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Engineering; Materials Science; Physics and Astronomy"
45;9500153997;"Polymer Reviews";journal;"15583724, 15583716";2,529;Q1;110;31;66;6709;972;66;13,00;216,42;30,43;0;7;United States;Northern America;"Taylor and Francis Ltd.";"2006-2023";"Biomedical Engineering (Q1); Chemistry (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Engineering; Materials Science"
46;26968;"Journal of Photochemistry and Photobiology C: Photochemistry Reviews";journal;"13895567";2,475;Q1;106;18;67;2842;988;66;12,73;157,89;17,19;0;5;Netherlands;Western Europe;"Elsevier B.V.";"2000-2023";"Catalysis (Q1); Organic Chemistry (Q1); Physical and Theoretical Chemistry (Q1)";"Chemical Engineering; Chemistry"
47;21100924713;"npj 2D Materials and Applications";journal;"23977132";2,460;Q1;52;73;225;4159;2225;225;8,54;56,97;20,28;0;5;United Kingdom;Western Europe;"Nature Publishing Group";"2017-2023";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Chemistry; Engineering; Materials Science; Physics and Astronomy"
48;21101037113;"Cell Reports Physical Science";journal;"26663864";2,446;Q1;49;433;932;26053;7705;926;7,67;60,17;30,15;2;169;United States;Northern America;"Cell Press";"2020-2023";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Chemistry; Energy; Engineering; Materials Science; Physics and Astronomy"
49;12878;"Chemistry of Materials";journal;"15205002, 08974756";2,421;Q1;424;959;3008;57767;24030;2969;6,91;60,24;29,64;0;231;United States;Northern America;"American Chemical Society";"1989-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Chemistry (Q1)";"Chemical Engineering; Chemistry; Materials Science"
50;12286;"Surface Science Reports";journal;"01675729, 1879274X";2,391;Q1;130;5;19;1402;177;19;8,00;280,40;18,75;0;0;Netherlands;Western Europe;"Elsevier B.V.";"1981-2023";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
51;21101138014;"Materials Reports: Energy";journal;"26669358";2,367;Q1;20;35;54;3308;658;53;12,19;94,51;34,74;0;31;China;Asiatic Region;"KeAi Communications Co.";"2021-2023";"Electrochemistry (Q1); Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
52;14151;"Molecular and Cellular Proteomics";journal;"15359476, 15359484";2,348;Q1;206;180;440;12460;2837;433;6,07;69,22;39,96;0;68;United States;Northern America;"Elsevier B.V.";"2002-2023";"Analytical Chemistry (Q1); Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine"
53;19700200838;"Chemical Science";journal;"20416520, 20416539";2,333;Q1;227;1440;4457;93374;35360;4440;7,46;64,84;30,59;0;243;United Kingdom;Western Europe;"Royal Society of Chemistry";"2010-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
54;17399;"Current Opinion in Chemical Biology";journal;"13675931, 18790402";2,328;Q1;202;129;338;7727;2307;314;6,61;59,90;40,06;0;35;United Kingdom;Western Europe;"Elsevier Ltd";"1997-2023";"Analytical Chemistry (Q1); Biochemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry"
55;19600162011;"Science China Chemistry";journal;"18691870, 16747291";2,316;Q1;84;364;784;24958;6266;726;8,57;68,57;36,75;0;100;China;Asiatic Region;"Science China Press";"2010-2023";"Chemistry (miscellaneous) (Q1)";"Chemistry"
56;26371;"Natural Product Reports";journal;"02650568, 14604752";2,297;Q1;211;68;279;11762;3035;277;10,49;172,97;32,76;0;14;United Kingdom;Western Europe;"Royal Society of Chemistry";"1984-2023";"Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics"
57;25806;"Carbon";journal;"00086223";2,171;Q1;328;897;2814;55796;30864;2752;11,24;62,20;31,21;0;222;United Kingdom;Western Europe;"Elsevier Ltd";"1940, 1963-2024";"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Materials Science"
58;30867;"TrAC - Trends in Analytical Chemistry";journal;"01659936, 18793142";2,108;Q1;214;488;841;64002;11570;832;12,96;131,15;42,62;4;144;Netherlands;Western Europe;"Elsevier B.V.";"1981-2023";"Analytical Chemistry (Q1); Environmental Chemistry (Q1); Spectroscopy (Q1)";"Chemistry; Environmental Science"
59;21101157250;"Supramolecular Materials";journal;"26672405";2,090;Q1;11;20;21;1552;171;21;8,14;77,60;37,50;0;5;China;Asiatic Region;"KeAi Communications Co.";"2022-2023";"Biotechnology (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science"
60;15437;"Biosensors and Bioelectronics";journal;"18734235, 09565663";2,052;Q1;239;780;2387;44861;27387;2378;11,19;57,51;40,28;1;305;United Kingdom;Western Europe;"Elsevier Ltd";"1990-2023";"Biomedical Engineering (Q1); Biophysics (Q1); Biotechnology (Q1); Electrochemistry (Q1); Medicine (miscellaneous) (Q1); Nanoscience and Nanotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Engineering; Materials Science; Medicine"
61;27476;"Critical Reviews in Solid State and Materials Sciences";journal;"15476561, 10408436";1,959;Q1;75;44;64;9175;840;64;12,75;208,52;23,60;0;12;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1977-1984, 1986-2023";"Chemical Engineering (miscellaneous) (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Physical and Theoretical Chemistry (Q1)";"Chemical Engineering; Chemistry; Engineering; Materials Science; Physics and Astronomy"
62;26556;"Catalysis Reviews - Science and Engineering";journal;"15205703, 01614940";1,947;Q1;112;40;56;9183;621;56;11,28;229,58;31,41;0;21;United States;Northern America;"Taylor &amp; Francis Group LLC";"1968-1972, 1974-2023";"Catalysis (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)";"Chemical Engineering; Chemistry"
63;21100857528;"Current Opinion in Electrochemistry";journal;"24519103, 24519111";1,923;Q1;69;208;608;11713;5002;575;7,94;56,31;31,26;0;98;Netherlands;Western Europe;"Elsevier B.V.";"2017-2023";"Analytical Chemistry (Q1); Electrochemistry (Q1)";"Chemistry"
64;19700188418;"Annual Review of Chemical and Biomolecular Engineering";journal;"19475438, 19475446";1,897;Q1;78;14;75;1663;597;72;7,55;118,79;30,00;0;5;United States;Northern America;"Annual Reviews Inc.";"2010-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemical Engineering; Chemistry; Energy"
65;29476;"Corrosion Science";journal;"0010938X";1,897;Q1;249;687;2194;37359;17874;2191;7,56;54,38;30,80;0;64;United Kingdom;Western Europe;"Elsevier Ltd";"1961-2023";"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemical Engineering; Chemistry; Materials Science"
66;18063;"Journal of Power Sources";journal;"03787753";1,857;Q1;357;1218;3893;69166;34492;3885;8,41;56,79;30,31;1;879;Netherlands;Western Europe;"Elsevier B.V.";"1976-2023";"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Physical and Theoretical Chemistry (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Chemistry; Energy; Engineering"
67;21100316072;"Trends in Environmental Analytical Chemistry";journal;"22141588";1,851;Q1;47;34;107;3353;1375;107;12,50;98,62;40,00;0;13;Netherlands;Western Europe;"Elsevier B.V.";"2014-2023";"Analytical Chemistry (Q1); Environmental Chemistry (Q1)";"Chemistry; Environmental Science"
68;26953;"Journal of Membrane Science";journal;"18733123, 03767388";1,848;Q1;295;844;3003;47547;26929;2995;8,83;56,34;35,76;0;408;Netherlands;Western Europe;"Elsevier B.V.";"1976-2024";"Biochemistry (Q1); Filtration and Separation (Q1); Materials Science (miscellaneous) (Q1); Physical and Theoretical Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry; Materials Science"
69;29646;"Progress in Surface Science";journal;"00796816";1,834;Q1;88;10;19;1503;165;19;10,07;150,30;41,38;0;0;United Kingdom;Western Europe;"Elsevier Ltd";"1971-2023";"Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Surfaces and Interfaces (Q1); Surfaces, Coatings and Films (Q1)";"Chemistry; Materials Science; Physics and Astronomy"
70;25801;"Carbohydrate Polymers";journal;"18791344, 01448617";1,831;Q1;274;1003;4132;67337;49380;4127;11,64;67,14;41,67;1;191;United Kingdom;Western Europe;"Elsevier Ltd";"1981-2024";"Materials Chemistry (Q1); Organic Chemistry (Q1); Polymers and Plastics (Q1)";"Chemistry; Materials Science"
71;24657;"Chemosphere";journal;"00456535, 18791298";1,806;Q1;311;3657;11249;248314;106765;11184;9,58;67,90;39,88;15;2190;United Kingdom;Western Europe;"Elsevier Ltd";"1972-2023";"Chemistry (miscellaneous) (Q1); Environmental Chemistry (Q1); Environmental Engineering (Q1); Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Public Health, Environmental and Occupational Health (Q1)";"Chemistry; Environmental Science; Medicine"
72;21100406867;"IUCrJ";journal;"20522525";1,755;Q1;57;81;304;4012;863;264;2,39;49,53;28,88;0;4;United Kingdom;Western Europe;"International Union of Crystallography";"2014-2023";"Biochemistry (Q1); Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
73;24085;"Progress in Nuclear Magnetic Resonance Spectroscopy";journal;"00796565, 18733301";1,747;Q1;117;12;46;1906;352;46;7,59;158,83;34,21;0;1;Netherlands;Western Europe;"Elsevier B.V.";"1965-1967, 1969-1973, 1975-1982, 1984-2023";"Analytical Chemistry (Q1); Biochemistry (Q1); Materials Science (miscellaneous) (Q1); Nuclear and High Energy Physics (Q1); Spectroscopy (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Materials Science; Physics and Astronomy"
74;24039;"Food Chemistry";journal;"18737072, 03088146";1,745;Q1;324;2772;7547;119968;75161;7524;9,91;43,28;46,87;4;261;United Kingdom;Western Europe;"Elsevier Ltd";"1976-2024";"Analytical Chemistry (Q1); Food Science (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Chemistry; Medicine"
75;19600157322;"Journal of Cheminformatics";journal;"17582946";1,745;Q1;83;120;254;5635;2433;248;7,21;46,96;28,90;0;6;United Kingdom;Western Europe;"Chemistry Central";"2009-2023";"Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1); Library and Information Sciences (Q1); Physical and Theoretical Chemistry (Q1)";"Chemistry; Computer Science; Social Sciences"
